# falsora manifest v1.0.0
relpath,source,domain,label,role,identities,frames,group,split
Celeb DF/Celeb-real/id32_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id32,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id32_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id32,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id33_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id33,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id33_0005.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id33,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id33_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id33,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id34_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id34,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id35_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id35,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id35_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id35,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id35_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id35,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id36_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id36,32,celebdf:id36,heldout
Celeb DF/Celeb-real/id36_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id36,32,celebdf:id36,heldout
Celeb DF/Celeb-real/id36_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id36,32,celebdf:id36,heldout
Celeb DF/Celeb-real/id36_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id36,32,celebdf:id36,heldout
Celeb DF/Celeb-real/id36_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id36,32,celebdf:id36,heldout
Celeb DF/Celeb-real/id37_0004.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id37,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id37_0005.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id37,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id37_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id37,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id39_0004.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id39,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id39_0005.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id39,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id3_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id3,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id3_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id3,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id3_0008.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id3,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id40_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id40,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id40_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id40,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id42_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id42,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id43_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id43,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id43_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id43,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id43_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id43,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id44_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id44,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id44_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id44,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id45_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id45,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id46_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id46,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id48_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id48,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id48_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id48,32,celebdf:id39,heldout
Celeb DF/Celeb-real/id49_0004.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id49,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id4_0004.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id4,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id50_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id50,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id50_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id50,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id50_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id50,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id51_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id51,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id51_0005.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id51,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id51_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id51,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id52_0001.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id52,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id52_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id52,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id53_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id53,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id53_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id53,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id53_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id53,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id54_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id54,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id56_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id56,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id56_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id56,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id56_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id56,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id57_0003.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id57,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id57_0007.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id57,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id58_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id58,32,celebdf:id49,heldout
Celeb DF/Celeb-real/id6_0002.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id6,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id6_0005.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id6,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id7_0006.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id7,32,celebdf:id10,heldout
Celeb DF/Celeb-real/id8_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id8,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id8_0009.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id8,32,celebdf:id0,heldout
Celeb DF/Celeb-real/id9_0000.mp4,Celeb DF/Celeb-real,celebdf,real,heldout_test,celebdf:id9,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id16_0003.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id16,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id16_0004.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id16,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id16_0007.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id16,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id1_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id1,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id1_0001.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id1,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id1_0005.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id1,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id21_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id21,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id26_0009.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id26,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id3_0007.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id3,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id0_id6_0007.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id0 celebdf:id6,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id10_id11_0001.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id11,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id11_0004.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id11,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id12_0001.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id12,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id12_0004.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id12,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id13_0001.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id13,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id13_0004.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id13,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id13_0007.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id13,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id7_0001.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id7,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id7_0004.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id7,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id7_0005.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id7,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id10_id7_0008.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id10 celebdf:id7,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id11_id7_0008.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id11 celebdf:id7,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id12_id10_0002.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id12 celebdf:id10,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id12_id10_0005.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id12 celebdf:id10,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id12_id7_0006.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id12 celebdf:id7,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id13_id10_0005.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id13 celebdf:id10,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id13_id10_0008.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id13 celebdf:id10,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id13_id7_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id13 celebdf:id7,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id13_id7_0012.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id13 celebdf:id7,32,celebdf:id10,heldout
Celeb DF/Celeb-synthesis/id16_id0_0011.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id0,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id1_0011.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id1,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id20_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id20,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id20_0006.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id20,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id20_0012.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id20,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id21_0002.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id21,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id23_0011.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id23,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id28_0005.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id28,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id2_0001.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id2_0006.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id2_0011.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id3_0009.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id3,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id3_0010.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id3,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id3_0011.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id3,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id6_0001.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id6,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id16_id6_0011.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id16 celebdf:id6,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id0_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id0,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id16_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id16,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id16_0007.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id16,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id1_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id1,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id21_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id21,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id23_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id23,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id23_0009.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id23,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id26_0006.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id26,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id28_0001.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id28,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id2_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id2_0003.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id2_0007.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id2,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id31_0009.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id31,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id3_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id3,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id3_0007.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id3,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id6_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id6,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id17_id9_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id17 celebdf:id9,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id19_id20_0000.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id19 celebdf:id20,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id19_id20_0004.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id19 celebdf:id20,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id19_id23_0001.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id19 celebdf:id23,32,celebdf:id0,heldout
Celeb DF/Celeb-synthesis/id1_id0_0007.mp4,Celeb DF/Celeb-synthesis,celebdf,fake,heldout_test,celebdf:id1 celebdf:id0,32,celebdf:id0,heldout
